sequence,correct,origname
flex_953,resfindernewid_1890,blaVIM-48_1_KY362199
flex_954,resfindernewid_1893,blaIMP-23_1_DQ417222
flex_955,resfindernewid_1892,blaIMP-30_1_KM589497
flex_956,resfindernewid_1543,blaIMP-18_1_AY780674
flex_957,resfindernewid_1542,blaIMP-16_1_AJ584652
flex_958,resfindernewid_1541,blaIMP-15_1_AY553333
flex_959,resfindernewid_1540,blaIMP-14_1_AY553332
flex_960,resfindernewid_1547,blaIMP-24_1_EF192154
flex_961,resfindernewid_1546,blaIMP-22_2_DQ361087
flex_962,resfindernewid_1545,blaIMP-20_1_AB196988
flex_963,resfindernewid_1544,blaIMP-19_1_EF118171
flex_964,resfindernewid_1389,blaTEM-162_1_EF468463
flex_965,resfindernewid_1388,blaTEM-160_1_EF136377
flex_966,resfindernewid_1381,blaTEM-153_1_KC149518
flex_967,resfindernewid_1380,blaTEM-152_1_DQ834728
flex_968,resfindernewid_1383,blaTEM-155_1_DQ679961
flex_969,resfindernewid_1382,blaTEM-154_1_FJ807656
flex_970,resfindernewid_1385,blaTEM-157_1_DQ909059
flex_971,resfindernewid_1384,blaTEM-156_1_AM941159
flex_972,resfindernewid_1387,blaTEM-159_1_EF136376
flex_973,resfindernewid_1386,blaTEM-158_1_EF534736
flex_974,resfindernewid_1947,blaKPC-35_1_MH404098
flex_975,resfindernewid_1946,blaKPC-34_1_KU985429
flex_976,resfindernewid_1945,blaKPC-33_1_CP025144
flex_977,resfindernewid_1944,blaKPC-32_1_MAPO01000050
flex_978,resfindernewid_1943,blaKPC-31_1_MAPH01000113
flex_979,resfindernewid_1942,blaKPC-23_1_MH450213
flex_980,resfindernewid_1941,blaKPC-24_1_KR052099
flex_981,resfindernewid_1940,blaKPC-25_1_KU216748
flex_982,resfindernewid_1949,blaCTX-M-150_1_KF769131
flex_983,resfindernewid_1948,blaCTX-M-148_1_KJ020574
flex_984,resfindernewid_2415,erm(C)_3_M17990
flex_985,resfindernewid_1099,blaOXA-349_1_KF297578
flex_986,resfindernewid_1098,blaOXA-348_1_KF297577
flex_987,resfindernewid_1769,blaZ_30_JGUQ01000012
flex_988,resfindernewid_1768,blaZ_29_JDXN01000019
flex_989,resfindernewid_1095,blaOXA-333_1_KF203107
flex_990,resfindernewid_1094,blaOXA-332_1_KF203106
flex_991,resfindernewid_1097,blaOXA-335_1_KF203109
flex_992,resfindernewid_1096,blaOXA-334_1_KF203108
flex_993,resfindernewid_1091,blaOXA-329_1_KF203103
flex_994,resfindernewid_1090,blaOXA-328_1_KF203102
flex_995,resfindernewid_1093,blaOXA-331_1_KF203105
flex_996,resfindernewid_1092,blaOXA-330_1_KF203104
flex_997,resfindernewid_322,blaOXA-413_1_KJ584922
flex_998,resfindernewid_2817,sul2_15_FJ968160
flex_999,resfindernewid_2417,erm(C)_10_Y09002
flex_1000,resfindernewid_1161,blaSHV-16_1_AF072684
flex_1001,resfindernewid_1160,blaSHV-15_1_AJ011428
flex_1002,resfindernewid_1163,blaSHV-24_1_AB023477
flex_1003,resfindernewid_1162,blaSHV-18_1_AF132290
flex_1004,resfindernewid_1165,blaSHV-26_1_AF227204
flex_1005,resfindernewid_1164,blaSHV-25_1_AF208796
flex_1006,resfindernewid_1167,blaSHV-28_1_AF299299
flex_1007,resfindernewid_1166,blaSHV-27_1_AF293345
flex_1008,resfindernewid_1169,blaSHV-30_1_AY661885
flex_1009,resfindernewid_1168,blaSHV-29_1_AF301532
flex_1010,resfindernewid_2410,erm(B)_18_X66468
flex_1011,resfindernewid_324,blaOXA-415_1_KJ865754
flex_1012,resfindernewid_2768,ARR-2_1_HQ141279
flex_1013,resfindernewid_2855,tet(34)_1_AB061440
flex_1014,resfindernewid_1363,blaTEM-133_1_AY528425
flex_1015,resfindernewid_1362,blaTEM-132_1_AY491682
flex_1016,resfindernewid_1361,blaTEM-131_1_AY436361
flex_1017,resfindernewid_1360,blaTEM-130_1_AJ866988
flex_1018,resfindernewid_1367,blaTEM-137_1_AM286274
flex_1019,resfindernewid_1366,blaTEM-136_1_AY826417
flex_1020,resfindernewid_1365,blaTEM-135_1_GQ896333
flex_1021,resfindernewid_1364,blaTEM-134_1_AY574271
flex_1022,resfindernewid_1369,blaTEM-139_1_DQ072853
flex_1023,resfindernewid_1368,blaTEM-138_1_AY853593
flex_1024,resfindernewid_2769,ARR-3_1_JF806499
flex_1025,resfindernewid_2412,erm(B)_21_U35228
flex_1026,resfindernewid_3022,dfrA1_8_X00926
flex_1027,resfindernewid_2413,erm(C)_1_V01278
flex_1028,resfindernewid_538,blaCMY-35_1_EF394371
flex_1029,resfindernewid_539,blaCMY-36_1_EU331426
flex_1030,resfindernewid_530,blaCMY-25_1_EU515249
flex_1031,resfindernewid_531,blaCMY-26_1_AB300358
flex_1032,resfindernewid_532,blaCMY-27_1_EU515250
flex_1033,resfindernewid_533,blaCMY-28_1_EF561644
flex_1034,resfindernewid_534,blaCMY-29_1_EF685371
flex_1035,resfindernewid_535,blaCMY-32_1_EU496815
flex_1036,resfindernewid_536,blaCMY-33_1_EU496816
flex_1037,resfindernewid_537,blaCMY-34_1_EF394370
flex_1038,resfindernewid_1833,blaZ_96_LNDI01000019
flex_1039,resfindernewid_1832,blaZ_95_MAJJ01000071
flex_1040,resfindernewid_1831,blaZ_94_LYRW01000005
flex_1041,resfindernewid_1830,blaZ_93_FKQA01000038
flex_1042,resfindernewid_2858,tet(T)_1_L42544
flex_1043,resfindernewid_2859,tet(T)_2_AY660530
flex_1044,resfindernewid_2854,tet(37)_1_AF540889
flex_1045,resfindernewid_1837,blaZ_100_LTMH01000008
flex_1046,resfindernewid_2856,otr(A)_1_X53401
flex_1047,resfindernewid_2857,tet(36)_1_AJ514254
flex_1048,resfindernewid_2850,tet(44)_1_NZ_ABDU01000081
flex_1049,resfindernewid_2851,tet(44)_2_FN594949
flex_1050,resfindernewid_2852,tet(40)_1_FJ158002
flex_1051,resfindernewid_1836,blaZ_99_LTNH01000008
flex_1052,resfindernewid_1835,blaZ_98_LTEF01000041
flex_1053,resfindernewid_1834,blaZ_97_FMOK01000003
flex_1054,resfindernewid_408,blaOXA-523_1_KX599401
flex_1055,resfindernewid_409,blaOXA-524_1_KX599402
flex_1056,resfindernewid_2464,msr(A)_1_X52085
flex_1057,resfindernewid_404,blaOXA-519_1_KX349732
flex_1058,resfindernewid_405,blaOXA-520_1_KX388630
flex_1059,resfindernewid_406,blaOXA-521_1_KX462701
flex_1060,resfindernewid_407,blaOXA-522_1_KX599408
flex_1061,resfindernewid_400,blaOXA-514_1_KU866382
flex_1062,resfindernewid_401,blaOXA-515_1_KU866383
flex_1063,resfindernewid_402,blaOXA-516_1_KU871391
flex_1064,resfindernewid_403,blaOXA-517_1_KU878974
flex_1065,resfindernewid_394,blaOXA-508_1_KU596972
flex_1066,resfindernewid_395,blaOXA-509_1_KU692025
flex_1067,resfindernewid_396,blaOXA-510_1_JX865393
flex_1068,resfindernewid_397,blaOXA-511_1_KU710720
flex_1069,resfindernewid_390,blaOXA-503_1_KU167109
flex_1070,resfindernewid_391,blaOXA-505_1_KU531433
flex_1071,resfindernewid_392,blaOXA-506_1_KU571454
flex_1072,resfindernewid_393,blaOXA-507_1_KU551305
flex_1073,resfindernewid_2146,blaTEM-181_1_KM977568
flex_1074,resfindernewid_2147,blaTEM-191_1_KY432484
flex_1075,resfindernewid_2144,blaTEM-129_1_AJ746225
flex_1076,resfindernewid_2145,blaTEM-128_1_AY368237
flex_1077,resfindernewid_398,blaOXA-512_1_KU726870
flex_1078,resfindernewid_399,blaOXA-513_1_KU323972
flex_1079,resfindernewid_2140,blaTEM-9_1_KY271103
flex_1080,resfindernewid_2141,blaTEM-4_1_LK391770
flex_1081,resfindernewid_2704,qnrB45_1_JQ349152
flex_1082,resfindernewid_2705,qnrB46_1_JQ349154
flex_1083,resfindernewid_2706,qnrB47_1_JQ349155
flex_1084,resfindernewid_2707,qnrB48_1_JQ762640
flex_1085,resfindernewid_2700,qnrB41_1_JN166690
flex_1086,resfindernewid_2701,qnrB42_1_JN680743
flex_1087,resfindernewid_2702,qnrB43_1_JQ349151
flex_1088,resfindernewid_2703,qnrB44_1_JQ349153
flex_1089,resfindernewid_2744,qnrVC6_1_KC202804
flex_1090,resfindernewid_2708,qnrB49_1_JQ582718
flex_1091,resfindernewid_2709,qnrB50_1_JX440357
flex_1092,resfindernewid_2745,qnrVC7_1_KM555152
flex_1093,resfindernewid_246,aac(3)-IIa_3_X13543
flex_1094,resfindernewid_711,blaFOX-5_1_AY007369
flex_1095,resfindernewid_712,blaFOX-6_1_AY034848
flex_1096,resfindernewid_245,aac(3)-IIa_2_AY138987
flex_1097,resfindernewid_242,str_2_FN435330
flex_1098,resfindernewid_243,str_3_AM932524
flex_1099,resfindernewid_240,aph(6)-Id_2_AF024602
flex_1100,resfindernewid_241,str_1_X92946
flex_1101,resfindernewid_718,blaGOB-1_2_AF090141
flex_1102,resfindernewid_719,blaGOB-2_1_AF189296
flex_1103,resfindernewid_2747,qnrD1_1_FJ228229
flex_1104,resfindernewid_248,aac(3)-IIa_5_FJ012882
flex_1105,resfindernewid_249,aac(3)-IV_1_DQ241380
flex_1106,resfindernewid_3035,dfrA12_4_EU650399
flex_1107,resfindernewid_3034,dfrA12_3_KJ568502
flex_1108,resfindernewid_3037,dfrA12_6_AY551331
flex_1109,resfindernewid_3036,dfrA12_5_FR875302
flex_1110,resfindernewid_2528,cfr_2_AJ879565
flex_1111,resfindernewid_2529,erm(48)_1_LT223129
flex_1112,resfindernewid_3033,dfrA12_2_KJ546436
flex_1113,resfindernewid_3032,dfrA12_1_FJ763641
flex_1114,resfindernewid_2524,lsa(A)_1_AY225127
flex_1115,resfindernewid_2525,lsa(A)_3_AY737526
flex_1116,resfindernewid_2526,erm(W)_1_D14532
flex_1117,resfindernewid_2527,cfr_1_AM408573
flex_1118,resfindernewid_2520,mph(E)_2_JF769133
flex_1119,resfindernewid_2521,vga(D)_1_GQ205627
flex_1120,resfindernewid_2522,vga(C)_1_FN806792
flex_1121,resfindernewid_2523,vga(E)_1_FR772051
flex_1122,resfindernewid_2032,blaCTX-M-26_1_AY157676
flex_1123,resfindernewid_2033,blaCTX-M-27_1_AY156923
flex_1124,resfindernewid_2030,blaCTX-M-38_1_AY822595
flex_1125,resfindernewid_2031,blaCTX-M-22_1_AY080894
flex_1126,resfindernewid_2036,blaCMY-155_1_KR261698
flex_1127,resfindernewid_2037,blaCMY-154_1_MF196231
flex_1128,resfindernewid_2034,blaCTX-M-15_1_AY044436
flex_1129,resfindernewid_2035,blaCMY-156_1_MF770636
flex_1130,resfindernewid_2038,blaCMY-153_1_MF042206
flex_1131,resfindernewid_2039,blaCMY-152_1_KY978224
flex_1132,resfindernewid_2743,qnrVC5_1_JN408080
flex_1133,resfindernewid_664,blaCTX-M-96_1_AJ704396
flex_1134,resfindernewid_665,blaCTX-M-97_1_HM776707
flex_1135,resfindernewid_666,blaCTX-M-98_1_HM755448
flex_1136,resfindernewid_667,blaCTX-M-99_1_HM803271
flex_1137,resfindernewid_660,blaCTX-M-92_1_GU127598
flex_1138,resfindernewid_661,blaCTX-M-93_1_HQ166709
flex_1139,resfindernewid_662,blaCTX-M-94_1_HM167760
flex_1140,resfindernewid_663,blaCTX-M-95_1_FN813245
flex_1141,resfindernewid_880,blaOXA-24_1_AJ239129
flex_1142,resfindernewid_881,blaOXA-25_1_AF201826
flex_1143,resfindernewid_882,blaOXA-26_1_AF201827
flex_1144,resfindernewid_883,blaOXA-27_1_AF201828
flex_1145,resfindernewid_668,blaCTX-M-100_1_FR682582
flex_1146,resfindernewid_669,blaCTX-M-101_1_HQ398214
flex_1147,resfindernewid_886,blaOXA-31_1_AF294653
flex_1148,resfindernewid_887,blaOXA-32_1_AF315351
flex_1149,resfindernewid_862,blaOXA-4_1_AY162283
flex_1150,resfindernewid_863,blaOXA-5_1_AF347074
flex_1151,resfindernewid_38,aph(7'')-Ia_1_X03615
flex_1152,resfindernewid_39,aph(9)-Ia_2_CR628337
flex_1153,resfindernewid_866,blaOXA-10_1_J03427
flex_1154,resfindernewid_867,blaOXA-11_1_Z22590
flex_1155,resfindernewid_864,blaOXA-7_1_X75562
flex_1156,resfindernewid_865,blaOXA-9_1_KQ089875
flex_1157,resfindernewid_32,aadA11_2_AJ567827
flex_1158,resfindernewid_33,aadA10_2_AM087405
flex_1159,resfindernewid_868,blaOXA-13_1_AF043558
flex_1160,resfindernewid_31,aadA13_2_NC010643
flex_1161,resfindernewid_36,aadD_2_M19465
flex_1162,resfindernewid_37,aph(2'')-Ib_2_AF207840
flex_1163,resfindernewid_34,aadA7_2_AB114632
flex_1164,resfindernewid_35,aadA2_1_NC_010870
flex_1165,resfindernewid_1424,blaVEB-3_1_AY536519
flex_1166,resfindernewid_1425,blaVEB-4_1_EF136375
flex_1167,resfindernewid_1426,blaVEB-5_1_EF420108
flex_1168,resfindernewid_1427,blaVEB-6_1_EU259884
flex_1169,resfindernewid_1420,blaVEB-1_1_HM370393
flex_1170,resfindernewid_1421,blaVEB-1_3_DQ393569
flex_1171,resfindernewid_1422,blaVEB-1_4_AF324834
flex_1172,resfindernewid_1423,blaVEB-2_1_AY027870
flex_1173,resfindernewid_1428,blaVEB-7_1_FJ825622
flex_1174,resfindernewid_1429,blaVEB-8_1_JX679208
flex_1175,resfindernewid_1558,blaIMP-38_1_HQ875573
flex_1176,resfindernewid_1559,blaIMP-40_1_AB753457
flex_1177,resfindernewid_1888,blaVIM-50_1_KU663375
flex_1178,resfindernewid_1889,blaVIM-49_1_KU663374
flex_1179,resfindernewid_1550,blaIMP-28_1_JQ407409
flex_1180,resfindernewid_1551,blaIMP-29_1_HQ438058
flex_1181,resfindernewid_1552,blaIMP-31_1_KF148593
flex_1182,resfindernewid_1553,blaIMP-32_1_JQ002629
flex_1183,resfindernewid_1554,blaIMP-33_1_JN848782
flex_1184,resfindernewid_1555,blaIMP-34_1_AB715422
flex_1185,resfindernewid_1556,blaIMP-35_1_JF816544
flex_1186,resfindernewid_1557,blaIMP-37_1_JX131372
flex_1187,resfindernewid_1398,blaTEM-178_1_X97254
flex_1188,resfindernewid_1399,blaTEM-182_1_HQ317449
flex_1189,resfindernewid_1396,blaTEM-176_1_GU550123
flex_1190,resfindernewid_1397,blaTEM-177_1_FN652295
flex_1191,resfindernewid_1394,blaTEM-168_1_FJ919776
flex_1192,resfindernewid_1395,blaTEM-171_1_GQ149347
flex_1193,resfindernewid_1392,blaTEM-166_1_FJ197316
flex_1194,resfindernewid_1393,blaTEM-167_1_FJ360884
flex_1195,resfindernewid_1390,blaTEM-163_1_EU815939
flex_1196,resfindernewid_1391,blaTEM-164_1_EU274580
flex_1197,resfindernewid_1954,blaCTX-M-158_1_KM211691
flex_1198,resfindernewid_1955,blaCTX-M-159_1_AB976602
flex_1199,resfindernewid_1956,blaCTX-M-160_1_KP050493
flex_1200,resfindernewid_1957,blaCTX-M-161_1_KP128034
flex_1201,resfindernewid_1950,blaCTX-M-151_1_AB916359
flex_1202,resfindernewid_1951,blaCTX-M-155_1_KM211508
flex_1203,resfindernewid_1952,blaCTX-M-156_1_KM211509
flex_1204,resfindernewid_1953,blaCTX-M-157_1_KM211510
flex_1205,resfindernewid_1958,blaCTX-M-162_1_KP681697
flex_1206,resfindernewid_1959,blaCTX-M-163_1_KP681698
flex_1207,resfindernewid_1778,blaZ_39_JHTU01000073
flex_1208,resfindernewid_1779,blaZ_40_NZ_AZBT01000050
flex_1209,resfindernewid_1774,blaZ_35_JIVZ01000012
flex_1210,resfindernewid_1775,blaZ_36_JITV01000006
flex_1211,resfindernewid_1776,blaZ_37_JIFD01000012
flex_1212,resfindernewid_1777,blaZ_38_NZ_JEMM01000040
flex_1213,resfindernewid_1770,blaZ_31_JIFU01000008
flex_1214,resfindernewid_1771,blaZ_32_JINH01000005
flex_1215,resfindernewid_1772,blaZ_33_JIXQ01000012
flex_1216,resfindernewid_1773,blaZ_34_JJAO01000008
flex_1217,resfindernewid_1082,blaOXA-309_1_HF947514
flex_1218,resfindernewid_1083,blaOXA-320_1_KF151169
flex_1219,resfindernewid_1080,blaOXA-258_1_HE614014
flex_1220,resfindernewid_1081,blaOXA-278_1_KC771279
flex_1221,resfindernewid_1086,blaOXA-324_1_KF203098
flex_1222,resfindernewid_1087,blaOXA-325_1_KF203099
flex_1223,resfindernewid_1084,blaOXA-322_1_KF203096
flex_1224,resfindernewid_1085,blaOXA-323_1_KF203097
flex_1225,resfindernewid_1088,blaOXA-326_1_KF203100
flex_1226,resfindernewid_1089,blaOXA-327_1_KF203101
flex_1227,resfindernewid_2559,vga(A)LC_4_JQ312423
flex_1228,resfindernewid_3044,dfrA14_4_AF393510
flex_1229,resfindernewid_2262,mcr-1.7_1_KY488488
flex_1230,resfindernewid_3046,dfrA15_2_AF221900
flex_1231,resfindernewid_1176,blaSHV-40_1_AF535128
flex_1232,resfindernewid_1177,blaSHV-41_1_AF535129
flex_1233,resfindernewid_1174,blaSHV-36_1_AF467947
flex_1234,resfindernewid_1175,blaSHV-37_1_AF467948
flex_1235,resfindernewid_1172,blaSHV-34_1_AY036620
flex_1236,resfindernewid_1173,blaSHV-35_1_AY070258
flex_1237,resfindernewid_1170,blaSHV-31_1_AY277255
flex_1238,resfindernewid_1171,blaSHV-33_1_AY037779
flex_1239,resfindernewid_3040,dfrA12_9_DQ995286
flex_1240,resfindernewid_1178,blaSHV-43_1_AY065991
flex_1241,resfindernewid_1179,blaSHV-44_1_AY259119
flex_1242,resfindernewid_3042,dfrA14_1_KF921535
flex_1243,resfindernewid_2264,mcr-1.9_1_KY964067
flex_1244,resfindernewid_2069,blaCMY-117_1_KM087844
flex_1245,resfindernewid_2404,erm(B)_7_AF368302
flex_1246,resfindernewid_2996,dfrA13_1_Z50802
flex_1247,resfindernewid_2068,blaCMY-118_1_KM087838
flex_1248,resfindernewid_1370,blaTEM-141_1_AY956335
flex_1249,resfindernewid_1371,blaTEM-142_1_DQ388882
flex_1250,resfindernewid_1372,blaTEM-143_1_DQ075245
flex_1251,resfindernewid_1373,blaTEM-145_1_DQ105528
flex_1252,resfindernewid_1374,blaTEM-146_1_DQ105529
flex_1253,resfindernewid_1375,blaTEM-147_1_DQ279850
flex_1254,resfindernewid_1376,blaTEM-148_1_AM087454
flex_1255,resfindernewid_1377,blaTEM-149_1_DQ369751
flex_1256,resfindernewid_1378,blaTEM-150_1_AM183304
flex_1257,resfindernewid_1379,blaTEM-151_1_DQ834729
flex_1258,resfindernewid_2604,optrA_20_ALMZ01000078
flex_1259,resfindernewid_2403,erm(B)_6_AF242872
flex_1260,resfindernewid_2105,blaDHA-27_1_MH067965
flex_1261,resfindernewid_2061,blaCMY-128_1_KM985466
flex_1262,resfindernewid_2060,blaCMY-129_1_KM985467
flex_1263,resfindernewid_2062,blaCMY-127_1_KM985465
flex_1264,resfindernewid_2999,dfrA20_1_AJ605332
flex_1265,resfindernewid_2998,dfrA6_1_Z86002
flex_1266,resfindernewid_2995,dfrA15_4_AJ867237
flex_1267,resfindernewid_2994,dfrA26_1_AM403715
flex_1268,resfindernewid_2997,dfrG_1_AB205645
flex_1269,resfindernewid_2066,blaCMY-121_1_KM507172
flex_1270,resfindernewid_2991,dfrB3_2_FM877478
flex_1271,resfindernewid_2990,dfrB4_1_AJ429132
flex_1272,resfindernewid_2993,dfrA21_1_AY552589
flex_1273,resfindernewid_2992,dfrA28_2_FM877476
flex_1274,resfindernewid_978,blaOXA-128_1_EU375515
flex_1275,resfindernewid_2558,vga(A)V_1_AF186237
flex_1276,resfindernewid_529,blaCMY-24_1_EF415650
flex_1277,resfindernewid_528,blaCMY-23_1_DQ438952
flex_1278,resfindernewid_527,blaCMY-22_1_DQ256079
flex_1279,resfindernewid_526,blaCMY-21_1_DQ139328
flex_1280,resfindernewid_525,blaCMY-20_1_AY960293
flex_1281,resfindernewid_524,blaCMY-19_1_AB194410
flex_1282,resfindernewid_523,blaCMY-18_1_AY743434
flex_1283,resfindernewid_522,blaCMY-17_1_AY513266
flex_1284,resfindernewid_521,blaCMY-15_1_AJ555823
flex_1285,resfindernewid_520,blaCMY-14_1_AJ555825
flex_1286,resfindernewid_757,blaIND-11_1_HM245379
flex_1287,resfindernewid_2663,qnrB6_2_EF523819
flex_1288,resfindernewid_2400,erm(A)_3_EU348758
flex_1289,resfindernewid_2662,qnrB6_1_EF520349
flex_1290,resfindernewid_2588,optrA_4_KT862777
flex_1291,resfindernewid_2589,optrA_5_KT862783
flex_1292,resfindernewid_2861,tet(42)_1_EU523697
flex_1293,resfindernewid_970,blaOXA-120_1_EU255289
flex_1294,resfindernewid_2863,tet(45)_1_JF837331
flex_1295,resfindernewid_2862,tet(43)_1_GQ244501
flex_1296,resfindernewid_2865,tetB(46)_1_HQ652506
flex_1297,resfindernewid_2864,tetA(46)_1_HQ652506
flex_1298,resfindernewid_2867,tet(59)_1_KU736878
flex_1299,resfindernewid_971,blaOXA-121_1_EU255290
flex_1300,resfindernewid_2869,tetB(60)_1_KX000273
flex_1301,resfindernewid_2868,tetA(60)_1_KX000272
flex_1302,resfindernewid_972,blaOXA-122_1_EU255291
flex_1303,resfindernewid_413,blaOXA-528_1_KX599407
flex_1304,resfindernewid_412,blaOXA-527_1_KX599404
flex_1305,resfindernewid_411,blaOXA-526_1_KX599409
flex_1306,resfindernewid_410,blaOXA-525_1_KX599406
flex_1307,resfindernewid_417,blaOXA-532_1_KX609247
flex_1308,resfindernewid_416,blaOXA-531_1_KX599400
flex_1309,resfindernewid_415,blaOXA-530_1_KX599398
flex_1310,resfindernewid_414,blaOXA-529_1_KX599405
flex_1311,resfindernewid_974,blaOXA-124_1_EU255293
flex_1312,resfindernewid_419,blaOXA-534_1_KX714285
flex_1313,resfindernewid_418,blaOXA-533_1_KX668472
flex_1314,resfindernewid_1651,blaOXA-292_1_APRO01000007
flex_1315,resfindernewid_2606,poxtA_1_MF095097
flex_1316,resfindernewid_975,blaOXA-125_1_EU255294
flex_1317,resfindernewid_1650,blaOXA-294_1_APPC01000015
flex_1318,resfindernewid_2669,qnrB11_1_EF653270
flex_1319,resfindernewid_976,blaOXA-126_1_EU255295
flex_1320,resfindernewid_1657,blaOXA-274_1_APOS01000038
flex_1321,resfindernewid_977,blaOXA-127_1_EU255296
flex_1322,resfindernewid_1656,blaOXA-275_1_APPJ01000001
flex_1323,resfindernewid_1655,blaOXA-279_1_APOM01000058
flex_1324,resfindernewid_1654,blaOXA-286_1_APOI01000030
flex_1325,resfindernewid_3039,dfrA12_8_AM040708
flex_1326,resfindernewid_389,blaOXA-502_1_KU167111
flex_1327,resfindernewid_388,blaOXA-501_1_KU167110
flex_1328,resfindernewid_2609,catB1_1_M58472
flex_1329,resfindernewid_2608,catB_1_M93113
flex_1330,resfindernewid_383,blaOXA-494_1_AY597430
flex_1331,resfindernewid_382,blaOXA-493_1_KU739135
flex_1332,resfindernewid_381,blaOXA-491_1_KU721148
flex_1333,resfindernewid_380,blaOXA-490_1_KU721147
flex_1334,resfindernewid_387,blaOXA-500_1_JMNQ01000002
flex_1335,resfindernewid_386,blaOXA-499_1_KT964029
flex_1336,resfindernewid_385,blaOXA-497_1_LKJZ01000136
flex_1337,resfindernewid_384,blaOXA-496_1_KT200608
flex_1338,resfindernewid_2739,qnrB82_1_KX372672
flex_1339,resfindernewid_2738,qnrB81_1_KX372671
flex_1340,resfindernewid_3038,dfrA12_7_AB196348
flex_1341,resfindernewid_2731,qnrB73_1_KF443075
flex_1342,resfindernewid_2730,qnrB72_1_KC741443
flex_1343,resfindernewid_2733,qnrB75_1_KP207591
flex_1344,resfindernewid_2732,qnrB74_1_KJ415247
flex_1345,resfindernewid_2735,qnrB77_1_KM985470
flex_1346,resfindernewid_2734,qnrB76_1_KM985469
flex_1347,resfindernewid_2737,qnrB80_1_KM985473
flex_1348,resfindernewid_2736,qnrB78_1_KM985471
flex_1349,resfindernewid_707,blaFOX-1_1_X77455
flex_1350,resfindernewid_706,blaFONA-1_1_AJ251239
flex_1351,resfindernewid_705,blaFONA-2_1_AJ251240
flex_1352,resfindernewid_704,blaFONA-3_1_AJ251241
flex_1353,resfindernewid_703,blaFONA-4_1_AJ251242
flex_1354,resfindernewid_702,blaFONA-5_1_AJ251243
flex_1355,resfindernewid_701,blaFONA-6_1_AJ251244
flex_1356,resfindernewid_700,blaDHA-7_1_HQ456945
flex_1357,resfindernewid_259,aac(3)-VIII_2_AJ843080
flex_1358,resfindernewid_258,aac(3)-VIII_1_AB211959
flex_1359,resfindernewid_709,blaFOX-3_1_Y11068
flex_1360,resfindernewid_708,blaFOX-2_1_Y10282
flex_1361,resfindernewid_2281,mcr-3.10_1_MG214531
flex_1362,resfindernewid_2280,mcr-3.9_1_MF598080
flex_1363,resfindernewid_2283,mcr-3.12_1_MG564491
flex_1364,resfindernewid_2282,mcr-3.11_1_MG489958
flex_1365,resfindernewid_2285,mcr-3.14_1_MH332764
flex_1366,resfindernewid_2284,mcr-3.13_1_MH332763
flex_1367,resfindernewid_2287,mcr-3.16_1_MH332766
flex_1368,resfindernewid_2286,mcr-3.15_1_MH332765
flex_1369,resfindernewid_2289,mcr-3.18_1_MH332768
flex_1370,resfindernewid_2288,mcr-3.17_1_MH332767
flex_1371,resfindernewid_3020,dfrA1_6_FJ215857
flex_1372,resfindernewid_3021,dfrA1_7_AJ400733
flex_1373,resfindernewid_3026,dfrA1_12_AY141977
flex_1374,resfindernewid_2562,mph(I)_1_KX531056
flex_1375,resfindernewid_3024,dfrA1_10_AF203818
flex_1376,resfindernewid_3025,dfrA1_11_AJ419168
flex_1377,resfindernewid_2047,blaCMY-144_1_KY066478
flex_1378,resfindernewid_2046,blaCMY-145_1_KX470426
flex_1379,resfindernewid_2045,blaCMY-146_1_KX034085
flex_1380,resfindernewid_2044,blaCMY-147_1_KY563765
flex_1381,resfindernewid_2043,blaCMY-148_1_KY624573
flex_1382,resfindernewid_2042,blaCMY-149_1_KY624574
flex_1383,resfindernewid_2041,blaCMY-150_1_QCWX01000028
flex_1384,resfindernewid_2040,blaCMY-151_1_KY780116
flex_1385,resfindernewid_2519,mph(E)_1_DQ839391
flex_1386,resfindernewid_2518,mph(D)_1_AB048591
flex_1387,resfindernewid_2905,tet(M)_5_U58985
flex_1388,resfindernewid_2049,blaCMY-142_1_KX881969
flex_1389,resfindernewid_2048,blaCMY-143_1_KY009534
flex_1390,resfindernewid_679,blaCTX-M-116_1_JF966749
flex_1391,resfindernewid_678,blaCTX-M-114_1_GQ351346
flex_1392,resfindernewid_2566,mre(A)_1_U92073
flex_1393,resfindernewid_899,blaOXA-50_1_AY306130
flex_1394,resfindernewid_898,blaOXA-49_1_AY288523
flex_1395,resfindernewid_897,blaOXA-48_1_AY236073
flex_1396,resfindernewid_896,blaOXA-47_1_AY237830
flex_1397,resfindernewid_895,blaOXA-46_1_AF317511
flex_1398,resfindernewid_894,blaOXA-45_1_AJ519683
flex_1399,resfindernewid_893,blaOXA-43_1_AJ488303
flex_1400,resfindernewid_892,blaOXA-42_1_AJ488302
flex_1401,resfindernewid_891,blaOXA-37_1_AY007784
flex_1402,resfindernewid_890,blaOXA-36_1_AF300985
flex_1403,resfindernewid_2407,erm(B)_11_M19270
flex_1404,resfindernewid_2406,erm(B)_10_U86375
flex_1405,resfindernewid_2405,erm(B)_9_AF299292
flex_1406,resfindernewid_871,blaOXA-15_1_U63835
flex_1407,resfindernewid_870,blaOXA-13_1_U59183
flex_1408,resfindernewid_873,blaOXA-17_1_DQ902344
flex_1409,resfindernewid_872,blaOXA-16_1_AF043100
flex_1410,resfindernewid_875,blaOXA-19_1_AF043381
flex_1411,resfindernewid_874,blaOXA-18_1_U85514
